characterAttributeName,define,ref
set,Named set of characters that a character is a part of. A character can be part of more than one set. ,https://www.iana.org/assignments/character-sets/character-sets.xhtml
coded character set,A set in which a unique number (aka code point) is assigned to each character.,
code page,alt name for coded character set,
encoding,"Way the character is stored in memory. A character set can use more than one encoding. An encoding is associated to only one character set. Different encodings may use same code point to represent different characters. One or more code units encode a single code point. Each code unit has the same size, which depends on the encoding format that is used. ",https://en.wikipedia.org/wiki/Character_encoding; https://www.techopedia.com/definition/948/encoding; https://www.w3.org/International/questions/qa-what-is-encoding
category in set,,
font supported in,Font the character is supported in. ,
collation,A combination of a character encoding and a sort order for the characters,
sort order,There may be more than one sort order for each character set. Like a case sensitive order and a case insensitive order. Two languages may sort the same characters in a different order.,
code point,Also called Code Position. Unique integer defined by a set for each character in the set. This integer can be represented as a decimal (base 10) or hexadecimal (base 16) number. ,https://en.wikipedia.org/wiki/Code_point
code unit,"Sequence of bits (binary digits) for a code point that are defined by an encoding (not the set). One or more code units encode a single code point. Each code unit has the same size, which depends on the encoding format that is used. Code Value is an obsolete synonym of code unit. ",https://en.wikipedia.org/wiki/Character_encoding#Terminology
