character,characterSymbol,characterName,escapeSequence,controlEscapeSequence,characterUse,impactedByCaseInsensitiveOrder,characterForCaseInsensitiveOrder_UTF8_base16,impactedByAccentInsensitiveOrder,characterForAccentInsensitiveOrder_UTF8_base16,isUnicodeCharacterSet,UTF16_base10,UTF16_base16,uPlus4HexDigits,UTF8_base10,UTF8_base16,UTF8_base16_Byte1,UTF8_Byte1_in_CP1252_base16,UTF8_base16_Byte2,UTF8_Byte2_in_CP1252_base16,UTF8_base16_Byte3,UTF8_Byte3_in_CP1252_base16,UTF8_base16_Byte4,UTF8_Byte4_in_CP1252_base16,UTF8_base16_ByteCount,unicodeDecimalNumberBadConvert,UTF8_to_UTF16_base16_decomp,UTF8_to_CP1252_base16_decomp,UTF8_to_CP1252_base16_decomp_addsChar,similarCharacter_UTF8_base10,isAsciiCharacterSet,ASCII_base10,asciiIndexNotAssigned,ASCII_base8,ASCII_base16,ASCII_base2,isCP1252CharacterSet,CP1252_base10,cp1252IndexNotAssigned,CP1252_base16,CP1252_in_UTF8_base16,isISO_8859_1CharacterSet,ISO_8859_1_base10,ISO_8859_1_base16,isEBCDICCharacterSet,EBCDIC_base10,EBCDIC_base16,isHTMLCharacterSet,HTML_base10,HTML_base16,HTML_name,printLength,isMirrored,isLetter,isLowerCaseLetter,isLetterModifier,isNumber,isPunctuation,isSymbol,isMathSymbol,isPrintable,isControl,isEnglish,isChinese,isCurrency,isWhiteSpace,isAsciiHexInUnicodeUTF8Bytes,isCP1252HexInUnicodeUTF8Bytes,isCP1252HexInUnicodeUTF8Byte1,isCP1252HexInUnicodeUTF8Byte2,isCP1252HexInUnicodeUTF8Byte3,isCP1252HexInUnicodeUTF8Byte4,isUTF8_UTF16_equal,IsIndexMatchForCharacter,descLink,imgLink,keyboardKeys
"",CCH,Cancel Character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fileformat.info/info/unicode/char/0094/index.htm,
"	",HT,Horizontal Tab;character tabulation,\t,,Moves the printing position right to the next tab stop.,,,,,1,9,0x09,,9,   ,,0,,0,,0,,0,3,,,,0,,1,9,,11,0x09,1001,1,9,,0x09,0,,,,,,,1,&#009;,,,> 0,,0,,,0,0,,,0,1,,,,1,0,0,0,0,0,0,,Unicode;ASCII;CP1252,,https://www.fileformat.info/info/unicode/char/9/index.htm,
"
",LF,"Line Feed; Newline; line ending; end of line, EOL, line break",\n,,"Move the print head down one line, or to the left edge and down. Use as the end of marker I most Unix systems and variants.",,,,,1,10,0x0A,,10,   ,,0,,0,,0,,0,3,,,,0,,1,10,,12,0x0A,1010,1,10,,0x0A,0,,,,,,,1,&#010;,,,0,,0,,,0,0,,,0,1,,,,0,0,0,0,0,0,0,,Unicode;ASCII;CP1252,,https://www.fileformat.info/info/unicode/char/000a/index.htm,
,VT,Vertical Tab; line tabulation,\v,,Vertical tabulation,,,,,1,11,0x0B,,11,   ,,0,,0,,0,,0,3,,,,0,,1,11,,13,0x0B,1011,1,11,,0x0B,0,,,,,,,1,&#011;,,,> 0,,0,,,0,0,,,0,1,,,,1,0,0,0,0,0,0,,Unicode;ASCII;CP1252,,https://www.fileformat.info/info/unicode/char/000b/index.htm,
,FF,Form Feed,\f,,Page breaking. It forces the printer to eject the current page and to continue printing a the top of the next page. ,,,,,1,12,0x0C,,12,   ,,0,,0,,0,,0,3,,,,0,,1,12,,14,0x0C,1100,1,12,,0x0C,0,,,,,,,1,&#012;,,,> 0,,0,,,0,0,,,0,1,,,,1,0,0,0,0,0,0,,Unicode;ASCII;CP1252,,http://www.fileformat.info/info/unicode/char/000C/index.htm,
"
",CR,Carriage Return,\r,,Moves the cursor to the beginning of the line without advancing to the next line. Used as a new line character in Commodore and early Macintosh operatig systems (Mac OS 9 and earlier),,,,,1,13,0x0d,,13,   ,,0,,0,,0,,0,3,,,,0,,1,13,,15,0x0D,1101,1,13,,0x0D,0,,,,,,,1,&#013;,,,0,,0,,,0,0,,,0,1,,,,0,0,0,0,0,0,0,,Unicode;ASCII;CP1252,,https://www.fileformat.info/info/unicode/char/000d/index.htm,
 ,,Space,\SP,,Common way to make space between characters,,,,,1,32,0x20,,32,   ,,0,,0,,0,,0,3,,,,0,,1,32,,40,0x20,100000,1,32,,0x20,0,,,,,,,,&#32;,,,> 0,,0,,,0,0,,,0,1,,,,1,0,0,0,0,0,0,,Unicode;ASCII;CP1252,,https://www.fileformat.info/info/unicode/char/0020/index.htm,
xxx,NEL,Next Line,,,,,,,,1,133,0x0085,,133,0xC2 0x85  ,0xC2,1,0x85,0,,0,,0,5,,,0xC2,0,,0,,,,,,0,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/0020/index.htm,
,,NO-BREAK SPACE; Digit Zero; non-breaking space; non-breakable space; required space; hard space; fixed space,,,"A space character that prevents an automatic line break at its position. In some formats, including HTML, it also prevents consecutive whitespace characters from collapsing into a single space.",,,,,1,160,0xA0,,160,0xc2 0xa0  ,0xc2,1,0xa0,1,,0,,0,5,,,0xc2;0xa0,1,,0,,,,,,1,160,,0xA0,1,,,,,,,,,,,> 0,,0,,,0,0,0,,0,0,0,,,1,1,1,0,1,1,0,,,,https://www.fileformat.info/info/unicode/char/00a0/index.htm,
 ,,ogham space mark,,,,,,,,1,5760,0x1680,,5760,0xE1 0x9A 0x80 ,0xE1,0,0x9A,1,0x80,0,,0,6,,,;0x9A,0,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/1680/index.htm,
 ,,en quad,,,,,,,,1,8192,0x2000,,8192,0xE2 0x80 0x80 ,0xE2,1,0x80,0,0x80,0,,0,6,,,0xE2,0,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2000/index.htm,
 ,,em quad,,,,,,,,1,8193,0x2001,,8193,0xE2 0x80 0x81 ,0xE2,1,0x80,0,0x81,0,,0,6,,,0xE2,0,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2001/index.htm,
,,en space,,,,,,,,1,8194,0x2002,,8194,0xE2 0x80 0x80 ,0xE2,1,0x80,0,0x80,0,,0,6,,,0xE2,0,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2002/index.htm,
,,em space,,,,,,,,1,8195,0x2003,,8195,0xE2 0x80 0x83 ,0xE2,1,0x80,0,0x83,1,,0,6,,,0xE2;0x83,1,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2003/index.htm,
,,three-per-em space,,,,,,,,1,8196,0x2004,,8196,0xE2 0x80 0x84 ,0xE2,1,0x80,0,0x84,0,,0,6,,,0xE2,0,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2004/index.htm,
,,four-per-em space,,,,,,,,1,8197,0x2005,,8197,0xE2 0x80 0x85 ,0xE2,1,0x80,0,0x85,0,,0,6,,,0xE2,0,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2005/index.htm,
,,six-per-em space,,,,,,,,1,8198,0x2006,,8198,0xE2 0x80 0x86 ,0xE2,1,0x80,0,0x86,0,,0,6,,,0xE2,0,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2006/index.htm,
xxx,,Figure Space,,,Produces a space equal to the figure (0–9) characters.,,,,,1,8199,0x2007,,8199,0xE2 0x80 0x87 ,0xE2,1,0x80,0,0x87,0,,0,6,,,0xE2,0,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,0,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2007/index.htm,
,,punctuation space,,,,,,,,1,8200,0x2008,,8200,0xE2 0x80 0x88 ,0xE2,1,0x80,0,0x88,0,,0,6,,,0xE2,0,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2008/index.htm,
,,thin space,,,,,,,,1,8201,0x2009,,8201,0xE2 0x80 0x89 ,0xE2,1,0x80,0,0x89,0,,0,6,,,0xE2,0,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2009/index.htm,
,,hair space,,,,,,,,1,8202,0x200A,,8202,0xE2 0x80 0x8A ,0xE2,1,0x80,0,0x8A,1,,0,6,,,0xE2;0x8A,1,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/200A/index.htm,
,,line separator,,,,,,,,1,8232,0x2028,,8232,0xE2 0x80 0xA8 ,0xE2,1,0x80,0,0xA8,1,,0,6,,,0xE2;0xA8,1,,0,,,,,,0,,,,0,,,,,,,,,,,> 0,,,,,,,,,0,,,,,1,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2028/index.htm,
